userid,start_utc_timestamp,start_utc_offset,stop_utc_timestamp,stop_utc_offset,geohash_from,lat_from,lon_from,poi_from,geohash_to,poi_to,lat_to,lon_to,foot,bike,car,bus,train
819,"26-Jan-2019 09:50:28",+01:00,"26-Jan-2019 13:41:33",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,1,98
819,"28-Jan-2019 09:13:00",+01:00,"28-Jan-2019 15:12:10",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j70yt0,"Hardware Store",45.563140,18.672810,2,1,2,0,92
819,"28-Jan-2019 09:13:00",+01:00,"28-Jan-2019 15:12:10",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j70yt0,"Hardware Store",45.563140,18.672810,2,1,2,0,92
819,"29-Jan-2019 10:43:03",+01:00,"29-Jan-2019 15:26:07",+01:00,u2j70ykz,45.562960,18.672470,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"29-Jan-2019 18:11:05",+01:00,"29-Jan-2019 18:22:13",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"29-Jan-2019 18:59:43",+01:00,"30-Jan-2019 04:00:27",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"30-Jan-2019 06:49:17",+01:00,"30-Jan-2019 13:04:21",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"30-Jan-2019 15:05:50",+01:00,"30-Jan-2019 19:13:15",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,2,1,2,1,91
819,"30-Jan-2019 19:51:58",+01:00,"30-Jan-2019 20:00:40",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,42,34,0,23
819,"30-Jan-2019 20:12:07",+01:00,"30-Jan-2019 20:19:01",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"30-Jan-2019 20:42:34",+01:00,"01-Feb-2019 09:26:41",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,3,0,6,3,86
819,"01-Feb-2019 12:01:43",+01:00,"01-Feb-2019 13:42:34",+01:00,u2j70ykx,45.562960,18.672120,"Pizza Place",u2j70yt0,"Hardware Store",45.563140,18.672810,3,2,2,2,88
819,"01-Feb-2019 15:23:35",+01:00,"02-Feb-2019 13:49:43",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,7,0,12,6,73
819,"02-Feb-2019 14:08:01",+01:00,"02-Feb-2019 14:28:59",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,6,92
819,"02-Feb-2019 14:34:41",+01:00,"02-Feb-2019 18:21:29",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"02-Feb-2019 18:35:39",+01:00,"02-Feb-2019 19:54:08",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"02-Feb-2019 20:06:28",+01:00,"02-Feb-2019 20:19:08",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,28,1,1,0,68
819,"02-Feb-2019 20:33:57",+01:00,"02-Feb-2019 22:22:23",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,3,0,1,95
819,"02-Feb-2019 22:37:38",+01:00,"02-Feb-2019 22:42:39",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,16,0,0,4,80
819,"03-Feb-2019 10:34:59",+01:00,"03-Feb-2019 10:41:22",+01:00,u2j70ykj,45.562620,18.671440,Pub,u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"03-Feb-2019 10:48:46",+01:00,"03-Feb-2019 21:34:56",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"04-Feb-2019 19:59:10",+01:00,"05-Feb-2019 05:46:02",+01:00,u2j71n50,45.560390,18.681050,"General College & University",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"04-Feb-2019 19:59:10",+01:00,"05-Feb-2019 05:46:02",+01:00,u2j71n50,45.560390,18.681050,Office,u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"05-Feb-2019 19:12:28",+01:00,"06-Feb-2019 01:04:37",+01:00,u2j71v3d,45.556610,18.711950,"Pizza Place",u2j70yt0,"Hardware Store",45.563140,18.672810,2,1,2,2,92
819,"06-Feb-2019 11:34:41",+01:00,"06-Feb-2019 12:15:46",+01:00,u2j71jee,45.558160,18.681740,Bar,u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,2,97
819,"07-Feb-2019 10:34:53",+01:00,"07-Feb-2019 12:39:09",+01:00,u2j70psz,45.569830,18.639510,"Event Space",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"07-Feb-2019 14:40:33",+01:00,"07-Feb-2019 14:54:34",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,0,0,0,0,100
819,"07-Feb-2019 14:59:55",+01:00,"07-Feb-2019 15:04:55",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70yt0,"Hardware Store",45.563140,18.672810,4,0,0,0,95
819,"26-Jan-2019 13:49:13",+01:00,"28-Jan-2019 08:02:05",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71jep,"Sandwich Place",45.558840,18.681050,5,0,9,5,79
819,"04-Feb-2019 10:50:34",+01:00,"04-Feb-2019 11:43:54",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71jep,"Sandwich Place",45.558840,18.681050,0,4,2,4,89
819,"04-Feb-2019 10:50:34",+01:00,"04-Feb-2019 11:43:54",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71jep,"Sandwich Place",45.558840,18.681050,0,4,2,4,89
819,"05-Feb-2019 05:55:22",+01:00,"05-Feb-2019 07:50:36",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"05-Feb-2019 08:33:36",+01:00,"05-Feb-2019 09:37:07",+01:00,u2j71jg0,45.559020,18.681050,"Sandwich Place",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"05-Feb-2019 09:50:07",+01:00,"05-Feb-2019 12:12:29",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"05-Feb-2019 09:50:07",+01:00,"05-Feb-2019 12:12:29",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"06-Feb-2019 04:24:38",+01:00,"06-Feb-2019 08:15:56",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"06-Feb-2019 08:41:20",+01:00,"06-Feb-2019 09:36:51",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"06-Feb-2019 08:41:20",+01:00,"06-Feb-2019 09:36:51",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"07-Feb-2019 19:07:53",+01:00,"08-Feb-2019 07:48:45",+01:00,u2j71v3d,45.556610,18.711950,"Pizza Place",u2j71jep,"Sandwich Place",45.558840,18.681050,0,1,3,1,93
819,"08-Feb-2019 08:04:05",+01:00,"08-Feb-2019 10:09:42",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"08-Feb-2019 08:04:05",+01:00,"08-Feb-2019 10:09:42",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71jep,"Sandwich Place",45.558840,18.681050,0,0,0,0,100
819,"28-Jan-2019 16:32:24",+01:00,"28-Jan-2019 17:03:24",+01:00,u2j71n50,45.560390,18.681050,"General College & University",u2j71n50,"General College & University",45.560390,18.681050,13,0,4,0,81
819,"28-Jan-2019 16:32:24",+01:00,"28-Jan-2019 17:03:24",+01:00,u2j71n50,45.560390,18.681050,Office,u2j71n50,"General College & University",45.560390,18.681050,13,0,4,0,81
819,"04-Feb-2019 14:10:54",+01:00,"04-Feb-2019 15:45:08",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"04-Feb-2019 14:10:54",+01:00,"04-Feb-2019 15:45:08",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"04-Feb-2019 19:10:10",+01:00,"04-Feb-2019 19:15:30",+01:00,u2j71n50,45.560390,18.681050,"General College & University",u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"04-Feb-2019 19:10:10",+01:00,"04-Feb-2019 19:15:30",+01:00,u2j71n50,45.560390,18.681050,Office,u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"04-Feb-2019 19:31:22",+01:00,"04-Feb-2019 19:45:10",+01:00,u2j71n50,45.560390,18.681050,"General College & University",u2j71n50,"General College & University",45.560390,18.681050,0,0,12,0,87
819,"04-Feb-2019 19:31:22",+01:00,"04-Feb-2019 19:45:10",+01:00,u2j71n50,45.560390,18.681050,Office,u2j71n50,"General College & University",45.560390,18.681050,0,0,12,0,87
819,"06-Feb-2019 12:36:41",+01:00,"06-Feb-2019 15:30:57",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"06-Feb-2019 16:52:17",+01:00,"06-Feb-2019 18:04:23",+01:00,u2j71n50,45.560390,18.681050,"General College & University",u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"06-Feb-2019 16:52:17",+01:00,"06-Feb-2019 18:04:23",+01:00,u2j71n50,45.560390,18.681050,Office,u2j71n50,"General College & University",45.560390,18.681050,0,0,0,0,100
819,"06-Feb-2019 18:47:03",+01:00,"06-Feb-2019 18:48:59",+01:00,u2j71n50,45.560390,18.681050,"General College & University",u2j71n50,"General College & University",45.560390,18.681050,100,0,0,0,0
819,"06-Feb-2019 18:47:03",+01:00,"06-Feb-2019 18:48:59",+01:00,u2j71n50,45.560390,18.681050,Office,u2j71n50,"General College & University",45.560390,18.681050,100,0,0,0,0
819,"28-Jan-2019 20:43:17",+01:00,"29-Jan-2019 05:13:42",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70tyr,Bakery,45.560220,18.663540,2,1,2,0,93
819,"29-Jan-2019 05:38:42",+01:00,"29-Jan-2019 10:26:14",+01:00,u2j70tyr,45.560220,18.663540,Bakery,u2j70ykz,"Hardware Store",45.562960,18.672470,0,0,0,0,100
819,"02-Feb-2019 22:47:42",+01:00,"03-Feb-2019 10:19:32",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j70ykj,Pub,45.562620,18.671440,4,1,9,3,80
819,"03-Feb-2019 21:52:05",+01:00,"04-Feb-2019 08:32:01",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71jdu,Bar,45.558330,18.680710,2,1,2,0,93
819,"26-Jan-2019 13:49:13",+01:00,"28-Jan-2019 08:02:05",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71jep,"College Academic Building",45.558840,18.681050,5,0,9,5,79
819,"04-Feb-2019 10:50:34",+01:00,"04-Feb-2019 11:43:54",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71jep,"College Academic Building",45.558840,18.681050,0,4,2,4,89
819,"04-Feb-2019 10:50:34",+01:00,"04-Feb-2019 11:43:54",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71jep,"College Academic Building",45.558840,18.681050,0,4,2,4,89
819,"05-Feb-2019 05:55:22",+01:00,"05-Feb-2019 07:50:36",+01:00,u2j70yt0,45.563140,18.672810,"Hardware Store",u2j71jep,"College Academic Building",45.558840,18.681050,0,0,0,0,100
819,"05-Feb-2019 08:33:36",+01:00,"05-Feb-2019 09:37:07",+01:00,u2j71jg0,45.559020,18.681050,"Sandwich Place",u2j71jep,"College Academic Building",45.558840,18.681050,0,0,0,0,100
819,"05-Feb-2019 09:50:07",+01:00,"05-Feb-2019 12:12:29",+01:00,u2j71jep,45.558840,18.681050,"Sandwich Place",u2j71jep,"College Academic Building",45.558840,18.681050,0,0,0,0,100
819,"05-Feb-2019 09:50:07",+01:00,"05-Feb-2019 12:12:29",+01:00,u2j71jep,45.558840,18.681050,"College Academic Building",u2j71jep,"College Academic Building",45.558840,18.681050,0,0,0,0,100
